Grupos de edad;Sexo;Periodo;Total
Total;Mujeres;2025;26,8
Total;Mujeres;2024;26,8
Total;Mujeres;2023;27,5
Total;Mujeres;2022;27,2
Total;Mujeres;2021;28,9
Total;Mujeres;2020;28
Total;Mujeres;2019;27,1
Total;Mujeres;2018;28,4
Total;Mujeres;2017;28,3
Total;Mujeres;2016;28,9
Total;Mujeres;2015;28,5
Total;Mujeres;2014;30,6
Total;Hombres;2025;24,5
Total;Hombres;2024;24,8
Total;Hombres;2023;25,5
Total;Hombres;2022;24,8
Total;Hombres;2021;26,7
Total;Hombres;2020;25,9
Total;Hombres;2019;25,1
Total;Hombres;2018;26
Total;Hombres;2017;26,6
Total;Hombres;2016;28,7
Total;Hombres;2015;28,9
Total;Hombres;2014;29,8
Menos de 16 años;Mujeres;2025;35,5
Menos de 16 años;Mujeres;2024;34,2
Menos de 16 años;Mujeres;2023;33,5
Menos de 16 años;Mujeres;2022;31,6
Menos de 16 años;Mujeres;2021;33,2
Menos de 16 años;Mujeres;2020;31,4
Menos de 16 años;Mujeres;2019;32,6
Menos de 16 años;Mujeres;2018;30,7
Menos de 16 años;Mujeres;2017;32
Menos de 16 años;Mujeres;2016;32,2
Menos de 16 años;Mujeres;2015;32,4
Menos de 16 años;Mujeres;2014;35,9
Menos de 16 años;Hombres;2025;32,3
Menos de 16 años;Hombres;2024;35,2
Menos de 16 años;Hombres;2023;35,1
Menos de 16 años;Hombres;2022;32,8
Menos de 16 años;Hombres;2021;33,1
Menos de 16 años;Hombres;2020;32,2
Menos de 16 años;Hombres;2019;29,1
Menos de 16 años;Hombres;2018;29,1
Menos de 16 años;Hombres;2017;31,3
Menos de 16 años;Hombres;2016;33,5
Menos de 16 años;Hombres;2015;33,8
Menos de 16 años;Hombres;2014;36,7
De 16 a 29 años;Mujeres;2025;28,2
De 16 a 29 años;Mujeres;2024;27,9
De 16 a 29 años;Mujeres;2023;26,7
De 16 a 29 años;Mujeres;2022;27,9
De 16 a 29 años;Mujeres;2021;32,1
De 16 a 29 años;Mujeres;2020;28,5
De 16 a 29 años;Mujeres;2019;33,4
De 16 a 29 años;Mujeres;2018;36,5
De 16 a 29 años;Mujeres;2017;36
De 16 a 29 años;Mujeres;2016;36,5
De 16 a 29 años;Mujeres;2015;34,6
De 16 a 29 años;Mujeres;2014;35,2
De 16 a 29 años;Hombres;2025;25,9
De 16 a 29 años;Hombres;2024;24,7
De 16 a 29 años;Hombres;2023;28
De 16 a 29 años;Hombres;2022;26,8
De 16 a 29 años;Hombres;2021;30,2
De 16 a 29 años;Hombres;2020;28,3
De 16 a 29 años;Hombres;2019;29,4
De 16 a 29 años;Hombres;2018;30
De 16 a 29 años;Hombres;2017;31,8
De 16 a 29 años;Hombres;2016;36
De 16 a 29 años;Hombres;2015;37,6
De 16 a 29 años;Hombres;2014;35,1
De 30 a 44 años;Mujeres;2025;27
De 30 a 44 años;Mujeres;2024;27,5
De 30 a 44 años;Mujeres;2023;27,4
De 30 a 44 años;Mujeres;2022;26,5
De 30 a 44 años;Mujeres;2021;28,1
De 30 a 44 años;Mujeres;2020;28,2
De 30 a 44 años;Mujeres;2019;24,9
De 30 a 44 años;Mujeres;2018;25,8
De 30 a 44 años;Mujeres;2017;25,8
De 30 a 44 años;Mujeres;2016;27,8
De 30 a 44 años;Mujeres;2015;27,3
De 30 a 44 años;Mujeres;2014;31,3
De 30 a 44 años;Hombres;2025;24,2
De 30 a 44 años;Hombres;2024;24,3
De 30 a 44 años;Hombres;2023;23,3
De 30 a 44 años;Hombres;2022;23,1
De 30 a 44 años;Hombres;2021;26,1
De 30 a 44 años;Hombres;2020;23,2
De 30 a 44 años;Hombres;2019;23,4
De 30 a 44 años;Hombres;2018;23,3
De 30 a 44 años;Hombres;2017;24,8
De 30 a 44 años;Hombres;2016;27,1
De 30 a 44 años;Hombres;2015;27,8
De 30 a 44 años;Hombres;2014;30,6
De 45 a 64 años;Mujeres;2025;26,1
De 45 a 64 años;Mujeres;2024;26,4
De 45 a 64 años;Mujeres;2023;28,1
De 45 a 64 años;Mujeres;2022;27,8
De 45 a 64 años;Mujeres;2021;30,2
De 45 a 64 años;Mujeres;2020;29,2
De 45 a 64 años;Mujeres;2019;29,3
De 45 a 64 años;Mujeres;2018;29,9
De 45 a 64 años;Mujeres;2017;30,2
De 45 a 64 años;Mujeres;2016;33,1
De 45 a 64 años;Mujeres;2015;33,3
De 45 a 64 años;Mujeres;2014;34,1
De 45 a 64 años;Hombres;2025;25,1
De 45 a 64 años;Hombres;2024;24,7
De 45 a 64 años;Hombres;2023;25,1
De 45 a 64 años;Hombres;2022;24,5
De 45 a 64 años;Hombres;2021;27,2
De 45 a 64 años;Hombres;2020;26,9
De 45 a 64 años;Hombres;2019;26,3
De 45 a 64 años;Hombres;2018;28,7
De 45 a 64 años;Hombres;2017;28,6
De 45 a 64 años;Hombres;2016;31,7
De 45 a 64 años;Hombres;2015;31,8
De 45 a 64 años;Hombres;2014;31,6
65 y más años;Mujeres;2025;21,3
65 y más años;Mujeres;2024;21,6
65 y más años;Mujeres;2023;23,2
65 y más años;Mujeres;2022;23,4
65 y más años;Mujeres;2021;23,1
65 y más años;Mujeres;2020;23,4
65 y más años;Mujeres;2019;18,3
65 y más años;Mujeres;2018;22,3
65 y más años;Mujeres;2017;20,7
65 y más años;Mujeres;2016;17,1
65 y más años;Mujeres;2015;16,1
65 y más años;Mujeres;2014;17,3
65 y más años;Hombres;2025;16,5
65 y más años;Hombres;2024;16,7
65 y más años;Hombres;2023;18,1
65 y más años;Hombres;2022;18,6
65 y más años;Hombres;2021;17,2
65 y más años;Hombres;2020;19,3
65 y más años;Hombres;2019;17,9
65 y más años;Hombres;2018;18,6
65 y más años;Hombres;2017;16,6
65 y más años;Hombres;2016;14,5
65 y más años;Hombres;2015;12,6
65 y más años;Hombres;2014;13,2
